Pigmentation	LongNagCaudale	LongNagDorsale	Temp	concPoll	sex	LonMuseauCLoaque.mm.	Age	Pop
113.696780256767	6.68125655028417	0.209382228102376	75.2855539784471	85.2466340930289	F	87	5	1
103.677069882909	5.55654537078816	0.30656951122805	102.26474413887	113.587964588241	F	70	4	1
102.364520211906	6.38039600844773	0.320796855845169	86.7706305419278	100.121216481485	F	90	6	1
104.179362218386	5.54516475545155	0.310866270468513	103.868257647209	101.599474298806	F	77	4	1
120.085914497587	3.20858897092961	0.200136663740288	89.6539216426263	91.9069518726746	F	92	6	1
105.496228754072	5.6723616746179	0.285503869086581	84.4580886986941	99.1518019359254	F	77	4	1
106.763204315201	6.23791960898427	0.279180831851747	80.9260429768449	85.450129091908	F	86	8	1
95.7703927777077	3.64174015194201	0.40119089755858	82.2316715676387	109.847510382538	F	74	6	1
103.892749027462	5.14929230031892	0.317086087130041	94.7118128186081	87.4542607294753	F	79	7	1
113.253882598409	5.53562019537264	0.218912202894373	93.6564978671277	97.2439280771574	F	75	5	1
108.370783957948	6.77732354691681	0.277344714364004	95.0480872769524	102.221842641913	F	78	5	1
121.651316028516	4.26228924928224	0.139929169023817	80.8703349280857	86.9587303318656	F	85	6	1
107.452925743459	5.27827504256689	0.270164439560196	80.7992100267702	90.1669877029243	F	76	5	1
98.8916777679904	5.46403277451873	0.353447153246694	107.689488892702	95.3643167985593	F	70	7	1
122.938942930271	5.8694414307256	0.160051076746574	91.8083118732731	75.444845054622	F	83	8	1
122.47841505296	5.7856366952924	0.160957216871207	67.8046208412446	89.0726446834837	F	80	7	1
99.5587490070687	4.70128034138242	0.368229595847218	79.4709907139188	64.4698143281688	F	76	8	1
102.062192322514	5.31755993428459	0.3176245862415	102.308566605806	77.7999977127458	F	80	8	1
96.2460610435608	6.51981162746535	0.380992775252454	96.944092729142	113.961733262739	F	77	5	1
95.1754116538268	5.02164578812715	0.397404852472172	92.5473517016718	79.3033235321417	F	74	8	1
109.662388115806	6.30831511656804	0.260166126207062	80.6979346459933	83.5920572016065	F	81	5	1
109.791468098264	4.65491232970381	0.267984318350605	95.8431293927923	93.3231922793642	F	88	4	1
127.309637734206	7.12817822964205	0.0846408586394	49.2372943180129	76.1889899744517	F	88	10	1
102.578039084232	5.89513717693992	0.327018901835882	69.4419285655202	91.2975073041181	F	78	8	1
109.368613626664	5.60655543897396	0.261822170276248	82.1440048322373	56.0787506991276	F	84	11	1
